"","weather","risk","treatment","outcome"
"67","wet","low","untreated","not-burned"
"68","normal","low","treated","not-burned"
"69","normal","low","untreated","not-burned"
"70","normal","low","untreated","not-burned"
"71","normal","high","treated","not-burned"
"72","dry","low","untreated","not-burned"
"73","wet","low","treated","not-burned"
"74","normal","low","untreated","not-burned"
"75","normal","high","treated","not-burned"
"76","normal","high","treated","not-burned"
"77","dry","low","untreated","not-burned"
"78","wet","low","treated","not-burned"
"79","dry","low","untreated","not-burned"
"80","wet","high","treated","not-burned"
"81","dry","low","treated","burned"
"82","normal","low","untreated","not-burned"
"83","dry","low","treated","not-burned"
"84","normal","low","treated","not-burned"
"85","normal","low","untreated","not-burned"
"86","normal","high","treated","not-burned"
"87","normal","low","treated","not-burned"
"88","normal","high","treated","burned"
"89","normal","high","treated","not-burned"
"90","wet","low","untreated","not-burned"
"91","dry","low","untreated","burned"
"92","dry","low","untreated","burned"
"93","normal","low","untreated","not-burned"
"94","dry","high","treated","not-burned"
"95","wet","low","treated","not-burned"
"96","wet","low","untreated","not-burned"
"97","dry","low","untreated","not-burned"
"98","wet","low","untreated","not-burned"
"99","wet","low","treated","not-burned"
"100","normal","high","treated","not-burned"
"101","wet","low","untreated","not-burned"
"102","dry","high","treated","not-burned"
"103","normal","high","treated","not-burned"
"104","dry","high","treated","not-burned"
"105","normal","low","untreated","not-burned"
"106","dry","low","untreated","burned"
"107","dry","low","untreated","burned"
"108","normal","low","treated","not-burned"
"109","wet","high","treated","burned"
"110","dry","low","treated","burned"
"111","dry","low","untreated","not-burned"
"112","normal","high","treated","not-burned"
"113","wet","low","treated","not-burned"
"114","dry","low","untreated","burned"
"115","normal","high","treated","not-burned"
"116","normal","high","treated","not-burned"
"117","normal","low","untreated","not-burned"
"118","wet","low","untreated","not-burned"
"119","normal","high","treated","not-burned"
"120","normal","high","treated","not-burned"
"121","wet","low","treated","not-burned"
"122","wet","low","untreated","not-burned"
"123","wet","low","untreated","not-burned"
"124","wet","low","untreated","not-burned"
"125","wet","low","untreated","not-burned"
"126","wet","low","untreated","not-burned"
"127","dry","low","untreated","burned"
"128","dry","high","untreated","not-burned"
"129","normal","low","untreated","not-burned"
"130","wet","low","treated","not-burned"
"131","normal","low","untreated","not-burned"
"132","wet","low","treated","not-burned"
"133","normal","low","treated","not-burned"
"134","normal","low","treated","not-burned"
"135","normal","low","untreated","not-burned"
"136","wet","low","untreated","not-burned"
"137","dry","high","untreated","not-burned"
"138","normal","high","treated","not-burned"
"139","normal","low","untreated","not-burned"
"140","wet","high","treated","not-burned"
"141","normal","low","treated","not-burned"
"142","dry","high","treated","not-burned"
"143","normal","high","untreated","not-burned"
"144","dry","high","untreated","burned"
"145","normal","low","untreated","not-burned"
"146","wet","low","treated","not-burned"
"147","normal","low","untreated","not-burned"
"148","normal","high","treated","not-burned"
"149","normal","low","untreated","not-burned"
"150","wet","low","untreated","not-burned"
"151","dry","low","treated","not-burned"
"152","dry","high","untreated","not-burned"
"153","normal","high","untreated","burned"
"154","dry","low","untreated","burned"
"155","dry","high","treated","not-burned"
"156","normal","low","untreated","not-burned"
"157","normal","high","treated","not-burned"
"158","normal","low","untreated","not-burned"
"159","normal","low","untreated","not-burned"
"160","dry","high","treated","burned"
"161","normal","low","treated","not-burned"
"162","normal","high","treated","not-burned"
"163","dry","low","treated","not-burned"
"164","normal","high","untreated","burned"
"165","wet","low","untreated","not-burned"
"166","dry","low","untreated","burned"
"167","normal","low","untreated","not-burned"
"168","normal","low","treated","not-burned"
"169","normal","high","treated","not-burned"
"170","wet","high","treated","not-burned"
"171","normal","low","treated","not-burned"
"172","wet","low","untreated","not-burned"
"173","dry","low","untreated","not-burned"
"174","wet","high","treated","not-burned"
"175","normal","low","treated","not-burned"
"176","wet","low","treated","not-burned"
"177","normal","high","treated","not-burned"
"178","normal","low","untreated","not-burned"
"179","dry","low","untreated","burned"
"180","normal","low","untreated","not-burned"
"181","wet","low","untreated","not-burned"
"182","dry","low","untreated","burned"
"183","normal","low","untreated","not-burned"
"184","dry","high","treated","not-burned"
"185","dry","low","treated","burned"
"186","wet","low","untreated","not-burned"
"187","wet","low","treated","not-burned"
"188","dry","high","treated","burned"
"189","normal","high","treated","not-burned"
"190","normal","low","untreated","not-burned"
"191","normal","high","untreated","burned"
"192","dry","low","treated","not-burned"
"193","normal","low","untreated","not-burned"
"194","wet","low","treated","not-burned"
"195","normal","low","untreated","not-burned"
"196","dry","high","treated","not-burned"
"197","normal","low","untreated","not-burned"
"198","normal","high","treated","not-burned"
"199","wet","low","untreated","not-burned"
"200","normal","high","treated","burned"
"201","wet","low","treated","not-burned"
"202","normal","high","treated","not-burned"
"203","normal","low","untreated","not-burned"
"204","normal","low","treated","not-burned"
"205","dry","low","untreated","not-burned"
"206","dry","low","untreated","not-burned"
"207","wet","low","untreated","not-burned"
"208","normal","low","untreated","not-burned"
"209","normal","low","untreated","not-burned"
"210","wet","low","treated","not-burned"
"211","normal","low","untreated","not-burned"
"212","dry","low","treated","not-burned"
"213","normal","low","untreated","not-burned"
"214","dry","high","treated","not-burned"
"215","dry","low","untreated","burned"
"216","dry","low","untreated","not-burned"
"217","wet","low","untreated","not-burned"
"218","normal","low","untreated","not-burned"
"219","dry","low","untreated","burned"
"220","wet","low","treated","not-burned"
"221","normal","high","treated","not-burned"
"222","normal","low","untreated","not-burned"
"223","normal","low","treated","not-burned"
"224","wet","high","untreated","not-burned"
"225","normal","low","untreated","not-burned"
"226","normal","low","untreated","not-burned"
"227","normal","low","treated","not-burned"
"228","wet","low","untreated","not-burned"
"229","normal","low","untreated","not-burned"
"230","normal","high","treated","not-burned"
"231","dry","high","treated","burned"
"232","normal","low","treated","not-burned"
"233","normal","low","untreated","not-burned"
"234","dry","high","treated","not-burned"
"235","normal","low","untreated","not-burned"
"236","dry","low","treated","not-burned"
"237","normal","low","treated","not-burned"
"238","normal","high","treated","not-burned"
"239","normal","low","treated","not-burned"
"240","wet","high","treated","not-burned"
"241","normal","high","untreated","not-burned"
"242","normal","high","treated","not-burned"
"243","normal","low","untreated","not-burned"
"244","dry","low","untreated","not-burned"
"245","normal","high","untreated","not-burned"
"246","normal","low","untreated","not-burned"
"247","normal","high","treated","burned"
"248","normal","low","untreated","not-burned"
"249","wet","low","untreated","not-burned"
"250","wet","high","treated","not-burned"
"251","normal","low","untreated","not-burned"
"252","dry","low","untreated","burned"
"253","normal","low","treated","not-burned"
"254","wet","low","untreated","not-burned"
"255","normal","low","untreated","not-burned"
"256","wet","low","treated","not-burned"
"257","normal","high","treated","not-burned"
"258","normal","high","treated","not-burned"
"259","normal","low","treated","not-burned"
"260","wet","low","treated","not-burned"
"261","wet","low","untreated","not-burned"
"262","wet","low","untreated","not-burned"
"263","normal","low","treated","not-burned"
"264","normal","low","treated","not-burned"
"265","normal","low","untreated","not-burned"
"266","normal","low","untreated","not-burned"
"267","normal","low","untreated","not-burned"
"268","wet","low","untreated","not-burned"
"269","normal","low","untreated","not-burned"
"270","normal","low","untreated","not-burned"
"271","dry","low","untreated","burned"
"272","normal","high","untreated","not-burned"
"273","normal","low","treated","not-burned"
"274","normal","low","treated","not-burned"
"275","normal","low","treated","not-burned"
"276","dry","low","treated","burned"
"277","normal","low","treated","not-burned"
"278","dry","high","treated","not-burned"
"279","dry","low","untreated","not-burned"
"280","normal","low","untreated","not-burned"
"281","normal","low","treated","not-burned"
"282","dry","high","treated","not-burned"
"283","normal","low","treated","not-burned"
"284","normal","high","treated","not-burned"
"285","dry","low","treated","burned"
"286","wet","low","treated","not-burned"
"287","wet","low","untreated","not-burned"
"288","wet","low","untreated","not-burned"
"289","normal","low","treated","not-burned"
"290","normal","low","treated","not-burned"
"291","normal","high","treated","not-burned"
"292","dry","high","treated","not-burned"
"293","normal","high","treated","not-burned"
"294","normal","low","untreated","not-burned"
"295","dry","high","treated","burned"
"296","dry","low","treated","not-burned"
"297","wet","low","treated","not-burned"
"298","wet","low","untreated","not-burned"
"299","wet","low","untreated","not-burned"
"300","wet","low","untreated","not-burned"
"301","normal","high","treated","not-burned"
"302","normal","high","treated","not-burned"
"303","normal","low","untreated","not-burned"
"304","normal","low","untreated","not-burned"
"305","normal","low","treated","not-burned"
"306","wet","low","treated","not-burned"
"307","normal","low","untreated","not-burned"
"308","normal","high","treated","not-burned"
"309","normal","low","untreated","not-burned"
"310","normal","low","untreated","not-burned"
"311","dry","low","treated","not-burned"
"312","normal","low","treated","not-burned"
"313","wet","low","treated","not-burned"
"314","normal","low","untreated","not-burned"
"315","dry","low","untreated","not-burned"
"316","normal","low","untreated","not-burned"
"317","wet","high","treated","not-burned"
"318","normal","low","treated","not-burned"
"319","dry","high","treated","not-burned"
"320","normal","high","treated","not-burned"
"321","wet","low","treated","not-burned"
"322","dry","low","untreated","burned"
"323","dry","high","untreated","not-burned"
"324","wet","high","treated","not-burned"
"325","normal","high","treated","not-burned"
"326","dry","low","untreated","not-burned"
"327","normal","low","untreated","not-burned"
"328","dry","low","treated","not-burned"
"329","normal","low","untreated","not-burned"
"330","wet","high","treated","not-burned"
"331","normal","low","untreated","not-burned"
"332","normal","low","treated","not-burned"
"333","wet","low","untreated","not-burned"
"334","normal","low","treated","not-burned"
"335","normal","low","treated","not-burned"
"336","normal","low","untreated","not-burned"
"337","normal","low","untreated","not-burned"
"338","dry","low","untreated","not-burned"
"339","dry","low","treated","burned"
"340","dry","low","untreated","not-burned"
"341","dry","low","treated","not-burned"
"342","wet","low","untreated","not-burned"
"343","dry","low","untreated","not-burned"
"344","dry","low","treated","not-burned"
"345","wet","low","untreated","not-burned"
"346","normal","high","treated","not-burned"
"347","dry","high","treated","not-burned"
"348","wet","low","untreated","not-burned"
"349","dry","low","untreated","not-burned"
"350","normal","low","untreated","not-burned"
"351","dry","high","untreated","not-burned"
"352","wet","low","treated","not-burned"
"353","normal","low","treated","not-burned"
"354","wet","low","untreated","not-burned"
"355","dry","low","treated","not-burned"
"356","normal","low","untreated","not-burned"
"357","normal","low","untreated","burned"
"358","wet","low","untreated","not-burned"
"359","normal","low","treated","not-burned"
"360","normal","high","treated","not-burned"
"361","wet","low","untreated","not-burned"
"362","normal","high","untreated","not-burned"
"363","dry","high","treated","not-burned"
"364","normal","high","treated","burned"
"365","dry","high","treated","burned"
"366","normal","low","untreated","not-burned"
"367","wet","low","treated","not-burned"
"368","normal","low","treated","not-burned"
"369","normal","high","treated","not-burned"
"370","wet","low","untreated","not-burned"
"371","normal","low","treated","not-burned"
"372","normal","low","treated","not-burned"
"373","wet","low","untreated","not-burned"
"374","dry","low","treated","burned"
"375","wet","high","treated","burned"
"376","wet","low","untreated","not-burned"
"377","dry","high","treated","burned"
"378","dry","low","untreated","not-burned"
"379","normal","low","treated","not-burned"
"380","wet","low","treated","not-burned"
"381","wet","low","untreated","not-burned"
"382","normal","low","untreated","not-burned"
"383","wet","low","untreated","not-burned"
"384","normal","low","treated","not-burned"
"385","dry","low","untreated","burned"
"386","wet","low","untreated","not-burned"
"387","wet","low","treated","not-burned"
"388","normal","high","treated","burned"
"389","wet","low","untreated","not-burned"
"390","normal","low","untreated","not-burned"
"391","wet","high","treated","not-burned"
"392","normal","high","untreated","not-burned"
"393","dry","low","untreated","burned"
"394","dry","high","treated","not-burned"
"395","dry","high","treated","not-burned"
"396","normal","high","treated","not-burned"
"397","wet","low","untreated","not-burned"
"398","normal","low","treated","not-burned"
"399","wet","low","untreated","not-burned"
"400","normal","low","untreated","not-burned"
"401","normal","low","untreated","not-burned"
"402","wet","low","untreated","not-burned"
"403","normal","low","untreated","not-burned"
"404","dry","high","treated","not-burned"
"405","normal","low","untreated","not-burned"
"406","normal","low","untreated","not-burned"
"407","normal","low","untreated","not-burned"
"408","normal","low","treated","not-burned"
"409","normal","low","treated","not-burned"
"410","normal","low","untreated","not-burned"
"411","normal","high","treated","not-burned"
"412","normal","low","untreated","not-burned"
"413","normal","low","treated","not-burned"
"414","normal","low","untreated","not-burned"
"415","dry","low","untreated","not-burned"
"416","normal","low","treated","not-burned"
"417","normal","low","treated","not-burned"
"418","normal","low","treated","not-burned"
"419","dry","low","untreated","not-burned"
"420","dry","low","untreated","not-burned"
"421","dry","low","treated","burned"
"422","wet","low","treated","not-burned"
"423","normal","high","treated","not-burned"
"424","dry","low","untreated","not-burned"
"425","dry","low","treated","burned"
"426","normal","low","treated","not-burned"
"427","normal","low","treated","not-burned"
"428","dry","high","treated","not-burned"
"429","wet","low","untreated","not-burned"
"430","normal","low","untreated","not-burned"
"431","dry","low","treated","not-burned"
"432","normal","high","untreated","not-burned"
"433","wet","low","treated","not-burned"
"434","normal","high","treated","not-burned"
"435","wet","low","untreated","not-burned"
"436","normal","low","untreated","not-burned"
"437","normal","high","treated","not-burned"
"438","normal","low","treated","not-burned"
"439","dry","low","untreated","burned"
"440","wet","low","untreated","not-burned"
"441","wet","low","untreated","not-burned"
"442","normal","low","untreated","not-burned"
"443","normal","high","treated","not-burned"
"444","normal","low","treated","not-burned"
"445","wet","low","untreated","not-burned"
"446","wet","low","treated","not-burned"
"447","wet","high","treated","not-burned"
"448","wet","low","untreated","not-burned"
"449","normal","low","treated","not-burned"
"450","normal","low","untreated","not-burned"
"451","wet","low","treated","not-burned"
"452","dry","high","untreated","not-burned"
"453","normal","high","treated","not-burned"
"454","dry","high","treated","not-burned"
"455","wet","low","untreated","not-burned"
"456","wet","low","treated","not-burned"
"457","normal","low","untreated","not-burned"
"458","normal","low","untreated","not-burned"
"459","normal","low","untreated","not-burned"
"460","dry","low","untreated","not-burned"
"461","wet","low","untreated","not-burned"
"462","wet","low","untreated","not-burned"
"463","normal","low","treated","not-burned"
"464","normal","low","untreated","not-burned"
"465","wet","low","untreated","not-burned"
"466","wet","low","treated","not-burned"
"467","normal","low","treated","not-burned"
"468","normal","low","untreated","not-burned"
"469","normal","high","treated","not-burned"
"470","wet","low","untreated","not-burned"
"471","normal","high","treated","not-burned"
"472","wet","low","treated","not-burned"
"473","normal","low","untreated","not-burned"
"474","normal","low","treated","not-burned"
"475","wet","low","untreated","not-burned"
"476","normal","low","treated","not-burned"
"477","wet","low","treated","not-burned"
"478","normal","low","untreated","not-burned"
"479","wet","low","treated","not-burned"
"480","normal","low","untreated","not-burned"
"481","wet","low","untreated","not-burned"
"482","wet","low","untreated","not-burned"
"483","normal","high","treated","not-burned"
"484","normal","low","treated","not-burned"
"485","dry","low","untreated","not-burned"
"486","dry","low","untreated","not-burned"
"487","normal","low","untreated","not-burned"
"488","dry","low","treated","not-burned"
"489","normal","low","treated","not-burned"
"490","normal","low","untreated","not-burned"
"491","normal","low","treated","not-burned"
"492","wet","high","treated","not-burned"
"493","wet","low","untreated","not-burned"
"494","normal","high","treated","not-burned"
"495","wet","low","untreated","not-burned"
"496","normal","low","untreated","not-burned"
"497","normal","low","untreated","not-burned"
"498","normal","high","treated","burned"
"499","dry","low","treated","not-burned"
"500","normal","low","untreated","not-burned"
"501","wet","low","untreated","not-burned"
"502","normal","low","treated","not-burned"
"503","wet","low","treated","not-burned"
"504","wet","low","treated","not-burned"
"505","wet","high","treated","not-burned"
"506","dry","high","treated","not-burned"
"507","dry","high","treated","not-burned"
"508","normal","low","untreated","not-burned"
"509","normal","low","untreated","not-burned"
"510","normal","high","treated","not-burned"
"511","dry","high","treated","not-burned"
"512","dry","low","untreated","burned"
"513","normal","low","untreated","not-burned"
"514","normal","low","treated","not-burned"
"515","wet","high","treated","not-burned"
"516","wet","low","untreated","not-burned"
"517","wet","low","treated","not-burned"
"518","normal","low","treated","not-burned"
"519","dry","low","treated","not-burned"
"520","normal","low","untreated","not-burned"
"521","normal","low","untreated","not-burned"
"522","normal","low","treated","not-burned"
"523","wet","high","treated","not-burned"
"524","wet","low","treated","not-burned"
"525","normal","low","untreated","not-burned"
"526","normal","high","treated","not-burned"
"527","normal","low","untreated","not-burned"
"528","dry","low","untreated","not-burned"
"529","normal","low","untreated","not-burned"
"530","normal","low","untreated","not-burned"
"531","dry","low","untreated","burned"
"532","dry","high","treated","burned"
"533","dry","low","untreated","not-burned"
"534","normal","low","untreated","not-burned"
"535","normal","low","treated","not-burned"
"536","normal","low","untreated","not-burned"
"537","dry","low","treated","not-burned"
"538","normal","high","treated","not-burned"
"539","wet","low","untreated","not-burned"
"540","wet","high","treated","not-burned"
"541","normal","high","untreated","not-burned"
"542","wet","low","untreated","not-burned"
"543","wet","low","untreated","not-burned"
"544","wet","low","treated","not-burned"
"545","normal","low","untreated","not-burned"
"546","wet","low","treated","not-burned"
"547","wet","low","treated","not-burned"
"548","dry","high","treated","not-burned"
"549","normal","high","treated","not-burned"
"550","dry","low","untreated","burned"
"551","normal","high","treated","not-burned"
"552","wet","low","treated","not-burned"
"553","wet","low","untreated","not-burned"
"554","wet","high","treated","not-burned"
"555","dry","low","untreated","burned"
"556","normal","low","treated","not-burned"
"557","dry","low","untreated","not-burned"
"558","normal","low","untreated","not-burned"
"559","normal","low","treated","not-burned"
"560","normal","high","treated","burned"
"561","wet","low","treated","not-burned"
"562","normal","high","treated","not-burned"
"563","normal","low","untreated","not-burned"
"564","wet","high","untreated","not-burned"
"565","dry","low","treated","burned"
"566","dry","high","treated","not-burned"
"567","normal","low","untreated","not-burned"
"568","wet","low","untreated","not-burned"
"569","normal","low","treated","not-burned"
"570","normal","low","treated","not-burned"
"571","dry","high","untreated","burned"
"572","dry","low","treated","burned"
"573","normal","low","untreated","not-burned"
"574","wet","low","treated","not-burned"
"575","wet","low","untreated","not-burned"
"576","wet","low","untreated","not-burned"
"577","normal","low","untreated","not-burned"
"578","dry","low","treated","not-burned"
"579","normal","low","untreated","not-burned"
"580","wet","low","untreated","not-burned"
"581","normal","low","untreated","not-burned"
"582","normal","low","treated","not-burned"
"583","normal","high","treated","not-burned"
"584","normal","low","untreated","not-burned"
"585","dry","low","untreated","not-burned"
"586","normal","high","treated","not-burned"
"587","wet","low","untreated","not-burned"
"588","normal","low","untreated","not-burned"
"589","normal","low","treated","not-burned"
"590","normal","high","treated","not-burned"
"591","wet","low","untreated","not-burned"
"592","normal","low","untreated","not-burned"
"593","wet","low","untreated","not-burned"
"594","normal","low","treated","not-burned"
"595","normal","low","untreated","not-burned"
"596","wet","low","untreated","not-burned"
"597","normal","low","treated","not-burned"
"598","normal","low","untreated","not-burned"
"599","dry","high","untreated","not-burned"
"600","dry","high","untreated","not-burned"
"601","normal","low","treated","not-burned"
"602","dry","low","untreated","burned"
"603","normal","low","untreated","not-burned"
"604","normal","low","treated","not-burned"
"605","wet","low","untreated","not-burned"
"606","wet","low","treated","not-burned"
"607","normal","low","untreated","not-burned"
"608","wet","low","untreated","not-burned"
"609","normal","high","treated","not-burned"
"610","wet","low","untreated","not-burned"
"611","normal","low","treated","not-burned"
"612","wet","low","untreated","not-burned"
"613","dry","high","treated","not-burned"
"614","wet","low","untreated","not-burned"
"615","normal","low","treated","not-burned"
"616","dry","high","treated","not-burned"
"617","normal","low","untreated","not-burned"
"618","normal","low","untreated","not-burned"
"619","dry","high","treated","not-burned"
"620","normal","high","untreated","not-burned"
"621","dry","low","untreated","not-burned"
"622","wet","low","treated","not-burned"
"623","normal","low","treated","not-burned"
"624","normal","low","untreated","not-burned"
"625","wet","low","treated","not-burned"
"626","dry","low","treated","not-burned"
"627","wet","low","treated","not-burned"
"628","wet","low","treated","not-burned"
"629","normal","high","untreated","not-burned"
"630","normal","low","treated","not-burned"
"631","wet","low","untreated","not-burned"
"632","normal","low","treated","not-burned"
"633","dry","high","untreated","not-burned"
"634","wet","low","untreated","not-burned"
"635","normal","low","untreated","not-burned"
"636","dry","low","untreated","burned"
"637","normal","low","treated","not-burned"
"638","normal","low","untreated","not-burned"
"639","dry","low","treated","burned"
"640","wet","low","treated","not-burned"
"641","dry","low","untreated","not-burned"
"642","normal","high","treated","not-burned"
"643","wet","high","treated","not-burned"
"644","normal","low","untreated","not-burned"
"645","normal","low","treated","not-burned"
"646","dry","high","treated","burned"
"647","normal","low","treated","not-burned"
"648","dry","low","treated","not-burned"
"649","wet","low","treated","not-burned"
"650","normal","low","untreated","not-burned"
"651","normal","high","treated","not-burned"
"652","wet","low","treated","not-burned"
"653","normal","low","treated","not-burned"
"654","wet","low","untreated","not-burned"
"655","wet","low","treated","not-burned"
"656","dry","high","treated","not-burned"
"657","dry","low","treated","burned"
"658","normal","low","treated","not-burned"
"659","normal","low","untreated","not-burned"
"660","dry","low","treated","not-burned"
"661","normal","high","treated","not-burned"
"662","dry","low","untreated","not-burned"
"663","normal","high","treated","not-burned"
"664","dry","low","treated","burned"
"665","wet","low","untreated","not-burned"
"666","normal","low","treated","not-burned"
"667","normal","low","untreated","not-burned"
"668","wet","low","untreated","not-burned"
"669","dry","low","untreated","burned"
"670","normal","low","untreated","not-burned"
"671","wet","low","treated","not-burned"
"672","normal","high","untreated","not-burned"
"673","normal","low","untreated","not-burned"
"674","dry","high","treated","not-burned"
"675","wet","low","treated","not-burned"
"676","wet","low","untreated","not-burned"
"677","wet","low","untreated","not-burned"
"678","normal","high","treated","not-burned"
"679","normal","high","treated","not-burned"
"680","normal","low","treated","not-burned"
"681","wet","low","treated","not-burned"
"682","wet","low","treated","not-burned"
"683","dry","low","treated","burned"
"684","dry","low","treated","burned"
"685","normal","low","treated","not-burned"
"686","wet","low","untreated","not-burned"
"687","normal","high","treated","not-burned"
"688","normal","high","treated","not-burned"
"689","wet","low","treated","not-burned"
"690","normal","high","treated","not-burned"
"691","wet","low","untreated","not-burned"
"692","dry","low","treated","not-burned"
"693","wet","low","untreated","not-burned"
"694","wet","low","untreated","not-burned"
"695","normal","low","untreated","not-burned"
"696","dry","low","treated","not-burned"
"697","normal","low","treated","not-burned"
"698","wet","low","untreated","not-burned"
"699","wet","low","untreated","not-burned"
"700","normal","high","treated","not-burned"
"701","wet","low","untreated","not-burned"
"702","normal","high","untreated","not-burned"
"703","wet","low","treated","not-burned"
"704","normal","high","untreated","not-burned"
"705","normal","low","untreated","not-burned"
"706","dry","high","untreated","not-burned"
"707","dry","high","treated","not-burned"
"708","wet","low","untreated","not-burned"
"709","normal","high","treated","not-burned"
"710","normal","low","treated","not-burned"
"711","normal","high","treated","not-burned"
"712","dry","high","treated","not-burned"
"713","wet","low","treated","not-burned"
"714","normal","low","untreated","not-burned"
"715","wet","low","treated","not-burned"
"716","normal","high","treated","not-burned"
"717","dry","high","untreated","burned"
"718","wet","low","untreated","not-burned"
"719","normal","high","treated","not-burned"
"720","normal","low","untreated","not-burned"
"721","dry","low","untreated","burned"
"722","wet","low","treated","not-burned"
"723","normal","low","untreated","not-burned"
"724","normal","low","treated","not-burned"
"725","normal","high","untreated","not-burned"
"726","dry","low","treated","not-burned"
"727","normal","high","untreated","not-burned"
"728","normal","low","untreated","not-burned"
"729","normal","low","untreated","not-burned"
"730","normal","low","untreated","not-burned"
"731","wet","low","untreated","not-burned"
"732","wet","low","treated","not-burned"
"733","normal","low","treated","not-burned"
"734","normal","high","treated","not-burned"
"735","wet","low","untreated","not-burned"
"736","normal","low","treated","not-burned"
"737","normal","high","untreated","not-burned"
"738","wet","low","treated","not-burned"
"739","wet","low","untreated","not-burned"
"740","dry","low","untreated","burned"
"741","wet","low","treated","not-burned"
"742","dry","low","untreated","burned"
"743","normal","low","treated","not-burned"
"744","normal","high","treated","not-burned"
"745","normal","low","untreated","not-burned"
"746","normal","low","treated","not-burned"
"747","dry","high","treated","not-burned"
"748","dry","high","treated","not-burned"
"749","dry","low","untreated","not-burned"
"750","normal","low","treated","not-burned"
"751","normal","low","treated","not-burned"
"752","wet","low","treated","not-burned"
"753","dry","high","untreated","not-burned"
"754","dry","high","treated","not-burned"
"755","wet","low","treated","not-burned"
"756","normal","low","untreated","not-burned"
"757","normal","high","treated","not-burned"
"758","normal","low","untreated","not-burned"
"759","normal","low","treated","not-burned"
"760","wet","low","untreated","not-burned"
"761","normal","high","treated","not-burned"
"762","normal","low","treated","not-burned"
"763","wet","low","untreated","not-burned"
"764","normal","low","treated","not-burned"
"765","normal","low","untreated","not-burned"
"766","wet","low","treated","not-burned"
"767","wet","low","treated","not-burned"
"768","dry","low","treated","burned"
"769","dry","high","treated","not-burned"
"770","normal","high","treated","not-burned"
"771","normal","high","treated","not-burned"
"772","dry","high","treated","not-burned"
"773","dry","high","treated","not-burned"
"774","normal","low","untreated","not-burned"
"775","normal","low","untreated","not-burned"
"776","wet","low","treated","not-burned"
"777","normal","low","untreated","not-burned"
"778","normal","high","untreated","not-burned"
"779","normal","low","treated","not-burned"
"780","normal","low","untreated","not-burned"
"781","normal","low","untreated","not-burned"
"782","dry","low","untreated","not-burned"
"783","wet","low","untreated","not-burned"
"784","normal","low","untreated","not-burned"
"785","wet","low","untreated","not-burned"
"786","dry","high","treated","burned"
"787","wet","low","untreated","not-burned"
"788","wet","low","treated","not-burned"
"789","normal","low","untreated","not-burned"
"790","dry","low","untreated","burned"
"791","normal","high","treated","not-burned"
"792","wet","low","treated","not-burned"
"793","normal","low","treated","not-burned"
"794","dry","low","untreated","burned"
"795","wet","low","untreated","not-burned"
"796","normal","low","untreated","not-burned"
"797","wet","low","treated","not-burned"
"798","wet","low","untreated","not-burned"
"799","normal","low","untreated","not-burned"
"800","normal","low","untreated","not-burned"
"801","wet","high","treated","not-burned"
"802","normal","low","treated","not-burned"
"803","normal","high","treated","not-burned"
"804","normal","low","untreated","not-burned"
"805","normal","low","untreated","not-burned"
"806","normal","low","treated","not-burned"
"807","wet","low","treated","not-burned"
